0,1,2,3,4,5,6,7,8,9,10
6513,0.23,0.74,5,219,4,0,0,1,2,0
12675,0.46,0.5,2,157,3,0,0,7,1,1
1910,0.14,0.75,4,277,5,1,0,1,2,1
1853,0.39,0.49,2,142,3,0,0,1,1,1
160,0.45,0.45,2,132,3,0,0,10,1,1
12144,0.37,0.47,2,152,3,0,0,8,1,1
6114,0.7,0.98,4,146,3,0,0,10,1,0
119,0.37,0.57,2,133,3,0,0,4,1,1
5734,0.59,0.51,4,184,2,0,0,10,1,0
995,0.38,0.45,2,127,3,0,0,4,1,1
11469,0.59,0.62,3,166,2,0,0,1,1,0
2945,0.65,0.98,3,283,2,1,0,4,1,0
192,0.92,0.87,4,226,6,1,0,4,2,1
2661,0.66,0.46,4,204,4,0,0,8,1,0
5341,0.18,0.59,4,132,3,0,0,9,1,0
10732,0.89,0.57,4,176,4,0,0,5,3,0
10264,0.92,0.88,4,151,3,0,0,4,1,0
1738,0.1,0.83,6,271,4,0,0,4,2,1
989,0.74,0.89,5,259,5,0,0,9,1,1
12585,0.41,0.56,2,154,3,0,1,5,2,1
1383,0.1,0.88,6,263,4,0,0,10,1,1
1898,0.1,0.94,7,264,4,0,0,7,2,1
744,0.11,0.9,6,301,4,0,0,4,1,1
4939,0.9,0.7,3,274,3,0,0,5,2,0
1969,0.84,0.91,5,232,6,0,0,6,1,1
12256,0.44,0.45,2,156,3,0,0,1,2,1
10757,0.31,0.51,2,146,3,0,0,9,1,0
659,0.38,0.53,2,146,3,0,0,5,1,1
14854,0.73,0.97,5,235,5,0,0,3,1,1
485,0.38,0.52,2,145,3,0,0,1,1,1
1247,0.43,0.49,2,155,3,0,0,1,2,1
8477,0.9,0.5,4,139,2,0,0,2,1,0
1065,0.47,0.81,4,133,3,0,0,9,1,1
12718,0.11,0.78,6,243,4,0,0,3,1,1
14319,0.44,0.5,2,148,3,0,0,2,2,1
1939,0.36,0.54,2,153,3,0,0,2,2,1
1047,0.86,1.0,4,250,6,0,0,5,2,1
8789,0.67,0.83,3,220,3,0,0,1,1,0
772,0.1,0.86,6,309,4,0,0,1,2,1
1092,0.44,0.46,2,157,3,0,0,1,2,1
4553,0.51,0.91,4,269,5,0,1,5,2,0
14420,0.44,0.5,2,128,3,0,0,5,1,1
1820,0.11,0.82,7,285,4,0,0,7,2,1
319,0.11,0.94,6,276,4,0,0,1,1,1
9400,0.24,0.39,5,158,2,0,0,1,2,0
9626,0.91,1.0,4,211,3,0,0,10,1,0
4867,0.95,0.69,4,207,2,1,0,4,1,0
1155,0.39,0.53,2,131,3,0,0,1,2,1
358,0.37,0.54,2,149,3,0,0,5,1,1
2215,0.59,0.52,2,149,3,0,0,2,2,0
7998,0.61,0.86,4,153,5,0,0,7,2,0
1617,0.37,0.46,2,156,3,0,0,1,1,1
13394,0.48,0.77,5,250,2,0,1,9,2,0
12252,0.79,0.92,5,254,6,0,0,1,1,1
13977,0.92,0.64,4,190,10,1,0,6,1,0
8462,0.95,0.77,5,139,2,0,0,7,2,0
11068,0.51,0.62,4,185,3,0,0,6,1,0
447,0.44,0.46,2,143,3,0,0,7,1,1
4806,0.49,0.61,3,148,2,1,0,9,1,0
6165,0.72,0.55,4,145,3,0,0,4,1,0
5023,0.7,0.69,4,158,3,0,0,7,1,0
654,0.37,0.51,2,132,3,0,0,4,2,1
71,0.74,0.99,2,277,3,0,0,7,2,1
13863,0.61,0.77,5,232,7,0,0,1,2,0
9766,0.6,0.61,3,104,5,0,0,7,2,0
7027,0.78,0.89,3,211,3,0,0,5,2,0
